mangaki_id,mangaki_title,manami_title,anidb.net,myanimelist.net,anilist.co,kitsu.io,notify.moe
60.0,Princess Mononoke,Mononoke Hime,,https://myanimelist.net/anime/164,,https://kitsu.io/anime/142,https://notify.moe/anime/FZltcFmig
,,Mononoke-hime,https://anidb.net/anime/7,,https://anilist.co/anime/164,,
128.0,My Teen Romantic Comedy SNAFU,Yahari Ore no Seishun LoveCome wa Machigatte Iru.,https://anidb.net/anime/9310,,,,
,,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,https://myanimelist.net/anime/14813,https://anilist.co/anime/14813,https://kitsu.io/anime/7169,https://notify.moe/anime/uthdpFmmg
176.0,Puella Magi Madoka Magica the Movie Part 3: Rebellion,Gekijouban Mahou Shoujo Madoka Magica,https://anidb.net/anime/8778,,,,
,,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,,https://myanimelist.net/anime/11981,,https://kitsu.io/anime/6638,https://notify.moe/anime/GBmHtKimR
786.0,Time of Eve,Eve no Jikan,https://anidb.net/anime/5132,https://myanimelist.net/anime/3167,https://anilist.co/anime/3167,https://kitsu.io/anime/7661,https://notify.moe/anime/2Ws5tKmig
,,Eve no Jikan (Movie),,https://myanimelist.net/anime/7465,,https://kitsu.io/anime/2836,https://notify.moe/anime/29mw5KiiR
1236.0,"Sankarea: I, Too, Am... A Zombie...",Sankarea,https://anidb.net/anime/8642,https://myanimelist.net/anime/11499,https://anilist.co/anime/11499,https://kitsu.io/anime/6521,https://notify.moe/anime/HBASpFimg
,,Sankarea: Wagahai mo... Zombie de Aru...,,https://myanimelist.net/anime/16694,https://anilist.co/anime/16694,https://kitsu.io/anime/7492,https://notify.moe/anime/kx6FpKimR
1352.0,Nanana's Buried Treasure,Ryuugajou Nanana no Maizoukin (TV),,https://myanimelist.net/anime/21561,https://anilist.co/anime/20556,https://kitsu.io/anime/8162,https://notify.moe/anime/3t7otKiig
,,Ryuugajou Nanana no Maizoukin,https://anidb.net/anime/10602,https://myanimelist.net/anime/13517,https://anilist.co/anime/13517,https://kitsu.io/anime/6986,https://notify.moe/anime/FPbvpFimg
1378.0,Kara no Kyoukai 5: Mujun Rasen,Kara no Kyoukai 5: Mujun Rasen,,https://myanimelist.net/anime/4282,,https://kitsu.io/anime/3546,https://notify.moe/anime/6AbXcFmiR
,,Gekijouban Kara no Kyoukai: The Garden of Sinners,https://anidb.net/anime/4932,,,,
1528.0,Spice and Wolf II,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,https://anidb.net/anime/6465,https://myanimelist.net/anime/6007,https://anilist.co/anime/6007,https://kitsu.io/anime/4382,https://notify.moe/anime/f8FqcKmmg
,,Ookami to Koushinryou II,https://anidb.net/anime/6169,https://myanimelist.net/anime/5341,https://anilist.co/anime/5341,https://kitsu.io/anime/4063,https://notify.moe/anime/dcOCcKmiR
2461.0,Contes de Terremer,Ged Senki,,https://myanimelist.net/anime/1829,https://anilist.co/anime/1829,https://kitsu.io/anime/1646,https://notify.moe/anime/veffcKmig
,,Ged Senki: Tales from Earthsea,https://anidb.net/anime/4193,,,,
3329.0,Gunbuster,Top wo Nerae! Gunbuster,,https://myanimelist.net/anime/949,,https://kitsu.io/anime/841,https://notify.moe/anime/HcS15FmmR
,,Top o Nerae! Gunbuster,https://anidb.net/anime/185,,,,
8858.0,"Assassination Classroom, le film",Ansatsu Kyoushitsu: Jump Festa 2013 Special,,https://myanimelist.net/anime/19759,https://anilist.co/anime/19759,https://kitsu.io/anime/7973,
,,Ansatsu Kyoushitsu,https://anidb.net/anime/9985,,,,
8859.0,Assassination Classroom,Ansatsu Kyoushitsu,,https://myanimelist.net/anime/24833,https://anilist.co/anime/20755,https://kitsu.io/anime/8640,https://notify.moe/anime/TES1pFmiR
,,Ansatsu Kyoushitsu (2015),https://anidb.net/anime/10702,,,,
9293.0,Gangsta.,Gangsta.,https://anidb.net/anime/10733,https://myanimelist.net/anime/25183,https://anilist.co/anime/20773,https://kitsu.io/anime/8576,https://notify.moe/anime/CuCApFmiR
,,Gangsta. Recap,,https://myanimelist.net/anime/31561,,https://kitsu.io/anime/11361,https://notify.moe/anime/rGbrtFmiR
13679.0,Kizumonogatari - Partie 1 : Sang d'acier,Kizumonogatari,https://anidb.net/anime/8357,,,,
,,Kizumonogatari I: Tekketsu-hen,,https://myanimelist.net/anime/9260,https://anilist.co/anime/9260,https://kitsu.io/anime/5649,https://notify.moe/anime/B38ZtFmmR
