mangaki_id,mangaki_title,manami_title,anidb.net,myanimelist.net,anilist.co,kitsu.io,notify.moe
21.0,Highschool of the Dead,Highschool of the Dead,,https://myanimelist.net/anime/8074,https://anilist.co/anime/8074,https://kitsu.io/anime/5187,https://notify.moe/anime/KOwzpKmig
,,Gakuen Mokushiroku: High School of the Dead,https://anidb.net/anime/7382,,,,
52.0,Hellsing,Hellsing,https://anidb.net/anime/32,https://myanimelist.net/anime/270,https://anilist.co/anime/270,https://kitsu.io/anime/245,https://notify.moe/anime/cbFh5KimR
,,Hellsing (2006),https://anidb.net/anime/3296,,,,
79.0,InuYasha,InuYasha,,https://myanimelist.net/anime/31133,,https://kitsu.io/anime/11153,https://notify.moe/anime/LOaXpKmiR
,,InuYasha (TV),https://anidb.net/anime/144,https://myanimelist.net/anime/249,https://anilist.co/anime/249,https://kitsu.io/anime/224,https://notify.moe/anime/Q3ShcFmiR
96.0,Eureka Seven,Koukyoushihen: Eureka Seven,https://anidb.net/anime/2826,,,,
,,Koukyoushihen Eureka Seven,,https://myanimelist.net/anime/237,https://anilist.co/anime/237,https://kitsu.io/anime/212,https://notify.moe/anime/9onhcFmig
98.0,Hellsing Ultimate,Hellsing Ultimate,,https://myanimelist.net/anime/777,https://anilist.co/anime/777,https://kitsu.io/anime/695,https://notify.moe/anime/KJTAcKmmR
,,Hellsing (2006),https://anidb.net/anime/3296,,,,
113.0,Air,Air Movie,https://anidb.net/anime/1667,https://myanimelist.net/anime/713,https://anilist.co/anime/713,https://kitsu.io/anime/80,https://notify.moe/anime/K4Ap5Fiig
,,Air,https://anidb.net/anime/2002,https://myanimelist.net/anime/101,https://anilist.co/anime/101,https://kitsu.io/anime/7660,https://notify.moe/anime/yXE5pFmiR
119.0,Bakuman.,Bakuman. 2nd Season,,https://myanimelist.net/anime/10030,https://anilist.co/anime/10030,https://kitsu.io/anime/6001,https://notify.moe/anime/E34npFmmR
,,Bakuman. 3rd Season,,https://myanimelist.net/anime/12365,https://anilist.co/anime/12365,https://kitsu.io/anime/6714,https://notify.moe/anime/iTpHpFmiR
,,Bakuman.,https://anidb.net/anime/7251,https://myanimelist.net/anime/7674,https://anilist.co/anime/7674,https://kitsu.io/anime/5079,https://notify.moe/anime/MBdzpKmiR
131.0,Free!,Free!,https://anidb.net/anime/9858,https://myanimelist.net/anime/18507,https://anilist.co/anime/18507,https://kitsu.io/anime/7664,https://notify.moe/anime/uLs5tKiig
,,Free! (2020),,,https://anilist.co/anime/107203,https://kitsu.io/anime/42357,
,,Free! (Movie),https://anidb.net/anime/14415,https://myanimelist.net/anime/38400,,,https://notify.moe/anime/axLlDCWWR
